"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 23 19:10:09 PKT 2022","Sat Jul 23 19:10:09 PKT 2022","1","","Adding Products to the cart: Add products to the cart that meet specific criteria","","Adding Products to the cart: Add products to the cart that meet specific criteria","When the products are least expensive and meet specific criteria, add them into the cart","When the products are least expensive and meet specific criteria, add them into the cart",""
"broken","Mon Jul 18 18:55:03 PKT 2022","Mon Jul 18 18:55:03 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Then the title of the page should be ""Moisturizers""","Then the title of the page should be ""Moisturizers""",""
"passed","Sat Jul 23 17:45:13 PKT 2022","Sat Jul 23 17:45:13 PKT 2022","11","","Checkout: User wants to perform checkout","","Checkout: User wants to perform checkout","Then the payment success screen will be given to user","Then the payment success screen will be given to user",""
"passed","Sat Jul 23 17:45:13 PKT 2022","Sat Jul 23 17:45:13 PKT 2022","0","","Checkout: User wants to perform checkout","","Checkout: User wants to perform checkout","","",""
"broken","Tue Jul 19 15:06:53 PKT 2022","Tue Jul 19 15:06:53 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","And the value of temperature is greater than 34 degrees","And the value of temperature is greater than 34 degrees",""
"broken","Mon Jul 18 18:55:03 PKT 2022","Mon Jul 18 18:55:03 PKT 2022","0","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on ""Buy sunscreens""","When the user clicks on ""Buy sunscreens""",""
"passed","Sat Jul 23 17:57:04 PKT 2022","Sat Jul 23 17:57:06 PKT 2022","2068","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding two moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","Given the browser is at the ""Home"" page of app","Given the browser is at the ""Home"" page of app",""
"passed","Thu Jul 21 13:04:46 PKT 2022","Thu Jul 21 13:04:46 PKT 2022","76","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","","Adding Almond moisturisers to the cart: Add an Almond moisturizer to the cart that meet specific criteria","Then the almond moisturiser is added and value of cart should be incremented","Then the almond moisturiser is added and value of cart should be incremented",""
"passed","Thu Jul 21 09:33:32 PKT 2022","Thu Jul 21 09:33:33 PKT 2022","225","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When the moisturizer is least expensive and contains ""Aloe"" in the name","When the moisturizer is least expensive and contains ""Aloe"" in the name",""
"passed","Mon Jul 25 09:39:51 PKT 2022","Mon Jul 25 09:39:52 PKT 2022","1431","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","Given the user is at the ""Home"" page of app","Given the user is at the ""Home"" page of app",""
"passed","Tue Jul 19 10:29:27 PKT 2022","Tue Jul 19 10:29:27 PKT 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"broken","Tue Jul 19 15:06:53 PKT 2022","Tue Jul 19 15:06:53 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","And the value of temperature is less than 19 degrees","And the value of temperature is less than 19 degrees",""
"passed","Thu Jul 21 10:41:46 PKT 2022","Thu Jul 21 10:41:46 PKT 2022","253","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When the moisturizer is least expensive and contains ""Aloe"" in the name, user adds it in the cart","When the moisturizer is least expensive and contains ""Aloe"" in the name, user adds it in the cart",""
"passed","Wed Jul 20 09:12:45 PKT 2022","Wed Jul 20 09:12:45 PKT 2022","32","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","When the user clicks on the ""Buy moisturizers"" menu option in the menu","When the user clicks on the ""Buy moisturizers"" menu option in the menu",""
"passed","Sat Jul 23 19:34:35 PKT 2022","Sat Jul 23 19:34:38 PKT 2022","2553","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","Given A web browser is at the home page","Given A web browser is at the home page",""
"broken","Mon Jul 18 18:55:03 PKT 2022","Mon Jul 18 18:55:03 PKT 2022","1","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","","Product Selection: User will Shop for moisturizers if the weather is below 19 degrees while Shops for suncreens if the weather is above 34 degrees.","And the value of temperature is ""less than 19 degrees""","And the value of temperature is ""less than 19 degrees""",""
"passed","Mon Jul 25 09:40:04 PKT 2022","Mon Jul 25 09:40:04 PKT 2022","0","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","Adding suncreens to the cart: Add two Sunscreens to the cart that meet specific criteria","","",""
"broken","Thu Jul 21 09:27:45 PKT 2022","Thu Jul 21 09:27:45 PKT 2022","272","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","","Adding moisturisers to the cart: Add two moisturizers to the cart that meet specific criteria","When the moisturizer is least expensive and contains ""Aloe"" in the name, user adds it into the cart","When the moisturizer is least expensive and contains ""Aloe"" in the name, user adds it into the cart",""
